id,brewery_id,country,style,availability,abv
267681,34428,US,stout,Rotating,10.0
153578,20220,Canada,pale_ale,Year-round,5.0
244252,37910,US,IPA,Rotating,8.0
336698,29008,US,IPA,Rotating,7.0
13903,1337,US,porter,Rotating,0.0
198711,41755,US,IPA,Rotating,5.4
319366,35259,US,IPA,Rotating,8.0
212160,31995,US,IPA,Rotating,7.2
7438,26,US,porter,Winter,6.0
54743,805,Europe,strong_ale,Winter,8.1
35991,219,US,stout,Rotating,6.0
213079,235,US,specialty,Rotating,4.8
337723,28657,US,IPA,Rotating,7.5
276427,12314,US,IPA,Spring,7.0
336330,41018,US,IPA,Rotating,8.0
316808,33194,Europe,pale_ale,Limited (brewed once),6.2
74980,27136,Oceania,pale_ale,Year-round,4.8
208392,14400,US,IPA,Year-round,7.2
215191,43537,US,porter,Rotating,5.4
210152,30422,US,wild_sour,Rotating,0.0
206471,30567,US,strong_ale,Fall,11.0
101350,22459,US,strong_ale,Rotating,8.0
317208,23639,US,IPA,Limited (brewed once),6.0
311081,624,US,pale_ale,Fall,5.9
232930,41018,US,IPA,Rotating,9.3
95491,30434,US,specialty,Year-round,6.6
139172,192,US,porter,Spring,6.0
92209,24428,US,pale_ale,Rotating,6.0
17943,3441,US,strong_ale,Year-round,9.5
213083,31953,US,pale_ale,Winter,4.2
200342,199,US,pale_ale,Rotating,5.5
131728,29693,US,IPA,Rotating,6.8
104121,10796,Canada,stout,Rotating,10.0
243548,40377,US,wild_sour,Rotating,6.0
306889,29376,US,IPA,Limited (brewed once),6.1
157854,1337,US,IPA,Rotating,0.0
119310,13307,Europe,pilsener_pale_lager,Rotating,4.5
56828,18680,US,pale_ale,Year-round,5.0
217445,40326,US,IPA,Year-round,7.0
1759,477,US,IPA,Rotating,7.2
71983,1784,US,porter,Rotating,5.4
286203,33205,US,pale_ale,Year-round,5.0
117055,34301,US,pale_ale,Year-round,4.0
113955,478,Canada,pilsener_pale_lager,Year-round,6.1
189962,42189,US,pale_ale,Rotating,4.5
113576,28383,US,pale_ale,Rotating,6.5
307354,18564,US,IPA,Rotating,8.2
336483,29095,US,stout,Rotating,11.3
91493,27768,US,pale_ale,Spring,6.0
76566,24371,America,strong_ale,Winter,9.0
206089,6045,US,IPA,Winter,7.2
312418,337,US,strong_ale,Limited (brewed once),7.6
96859,31840,US,IPA,Rotating,7.3
157954,36387,Europe,IPA,Year-round,6.9
170104,40061,US,pale_ale,Year-round,0.0
158316,34518,US,IPA,Rotating,8.0
59766,294,Europe,strong_ale,Year-round,8.0
212752,38054,US,IPA,Rotating,9.5
239861,27844,US,IPA,Rotating,6.2
208429,40874,US,wild_sour,Rotating,4.2
177608,39876,US,pale_ale,Summer,6.5
160386,39223,America,stout,Year-round,0.0
166943,36515,US,pilsener_pale_lager,Rotating,7.4
216696,29347,Europe,pilsener_pale_lager,Rotating,6.6
151932,30247,US,porter,Rotating,8.5
151919,36347,US,stout,Rotating,0.0
43246,10001,Canada,pilsener_pale_lager,Summer,5.0
325690,45376,Europe,IPA,Rotating,6.5
306880,48782,US,hybrid,Rotating,6.3
98082,21876,US,porter,Rotating,6.5
81079,25710,US,pale_ale,Rotating,10.0
269766,43361,US,IPA,Rotating,9.0
26137,11591,US,wheat,Year-round,5.2
93839,25898,US,wheat,Rotating,6.2
370788,42756,US,IPA,Limited (brewed once),6.0
144080,5316,US,hybrid,Rotating,5.4
203982,34183,US,pale_ale,Year-round,4.5
272122,46856,Europe,stout,Year-round,4.3
296516,34282,US,IPA,Rotating,7.2
365834,28178,US,IPA,Rotating,8.2
50645,19916,US,pale_ale,Year-round,4.2
76880,815,Canada,IPA,Year-round,6.0
363539,39318,US,IPA,Rotating,8.0
104448,32020,US,stout,Year-round,8.0
63476,858,US,dark_ale,Rotating,0.0
65241,10046,US,stout,Year-round,8.5
70642,410,US,pilsener_pale_lager,Year-round,3.8
78922,28529,US,dark_lager,Year-round,5.2
273190,26520,US,pilsener_pale_lager,Year-round,7.0
283370,49268,US,IPA,Year-round,7.3
218775,396,US,porter,Rotating,8.5
324046,718,Europe,pale_ale,Rotating,7.3
341743,48069,US,pale_ale,Limited (brewed once),5.8
72148,26615,Europe,IPA,Year-round,5.1
148304,30452,US,IPA,Rotating,7.2
90855,30923,US,wheat,Year-round,5.5
307233,47553,US,wild_sour,Summer,6.5
62934,160,Europe,stout,Spring,4.3
89791,22433,US,pilsener_pale_lager,Winter,11.0
92908,2594,Canada,pale_ale,Summer,5.0
141867,29747,US,specialty,Fall,6.0
220407,24300,US,stout,Rotating,10.0
372597,47802,US,wheat,Limited (brewed once),4.5
37527,292,Asia,pilsener_pale_lager,Year-round,4.5
73458,26851,Canada,pale_ale,Year-round,5.3
105232,2447,US,stout,Rotating,9.5
127181,32065,US,pilsener_pale_lager,Rotating,5.0
209964,40561,Asia,strong_ale,Winter,10.75
9170,6045,US,porter,Rotating,5.3
100453,31029,US,IPA,Rotating,6.4
73231,16357,US,dark_ale,Rotating,7.3
164136,13602,US,specialty,Year-round,6.7
50030,16055,Europe,IPA,Rotating,10.0
145501,27919,US,brown_ale,Rotating,8.0
353635,40976,US,IPA,Limited (brewed once),8.3
51854,11256,Canada,IPA,Year-round,6.2
170498,29998,Canada,porter,Rotating,8.2
357637,39889,US,stout,Limited (brewed once),10.5
104040,25433,US,pale_ale,Year-round,7.5
70198,2313,US,specialty,Rotating,10.6
316880,36100,US,IPA,Limited (brewed once),8.2
259225,43127,US,porter,Rotating,6.5
124269,3098,US,stout,Rotating,9.1
109339,33165,US,IPA,Year-round,8.2
203273,29180,US,pale_ale,Rotating,6.8
47078,18724,US,pale_ale,Rotating,6.0
256583,764,US,specialty,Rotating,10.4
169936,624,US,IPA,Rotating,6.5
357941,37795,US,specialty,Year-round,8.0
84672,29778,US,pale_ale,Year-round,5.1
97857,2321,US,pale_ale,Rotating,7.7
204940,26749,US,IPA,Rotating,6.2
18926,997,US,strong_ale,Rotating,6.5
169344,39883,US,stout,Rotating,5.0
262202,24940,US,wild_sour,Rotating,6.8
199359,40685,US,porter,Rotating,5.6
12090,6266,US,porter,Year-round,6.0
74962,1550,US,IPA,Rotating,0.0
43651,16094,US,pilsener_pale_lager,Summer,5.5
67312,4049,Canada,pale_ale,Year-round,3.0
51942,2796,Europe,strong_ale,Year-round,12.0
182398,418,US,stout,Rotating,8.9
152783,34988,Europe,IPA,Year-round,6.0
287408,24018,US,pale_ale,Rotating,5.2
53575,199,US,pale_ale,Rotating,6.0
68741,17280,Europe,dark_ale,Year-round,8.0
195952,32326,US,IPA,Rotating,10.0
241275,19378,US,stout,Year-round,5.3
313234,1416,US,specialty,Rotating,4.0
143447,30654,US,pale_ale,Rotating,7.5
88477,4075,US,stout,Rotating,8.2
172130,36419,US,brown_ale,Rotating,8.0
91236,2710,US,strong_ale,Rotating,9.2
331332,24428,US,IPA,Rotating,4.9
156735,29008,US,IPA,Rotating,8.2
289852,49404,US,pale_ale,Rotating,5.8
45760,1889,US,stout,Rotating,4.5
342421,44720,US,IPA,Rotating,6.4
6078,431,US,pilsener_pale_lager,Year-round,3.9
274907,47369,US,IPA,Rotating,8.0
163334,24678,US,dark_ale,Rotating,6.2
250798,784,US,pale_ale,Rotating,9.0
121106,267,US,pale_ale,Rotating,7.6
286727,32799,US,pale_ale,Rotating,4.8
336536,47799,US,porter,Rotating,7.0
116277,30746,US,pilsener_pale_lager,Year-round,5.6
113779,26850,US,pale_ale,Rotating,8.0
90401,801,Europe,pale_ale,Fall,4.0
368687,17034,US,IPA,Rotating,5.0
42045,185,Europe,pilsener_pale_lager,Year-round,4.7
173418,37721,US,IPA,Rotating,6.7
40098,1069,US,specialty,Fall,7.99
332669,17981,US,stout,Limited (brewed once),0.0
83728,5109,Asia,pilsener_pale_lager,Year-round,5.0
317648,43244,US,stout,Rotating,11.4
91082,27996,US,IPA,Rotating,7.1
330291,33510,US,IPA,Rotating,8.5
310386,30654,US,porter,Limited (brewed once),7.5
19229,6746,Asia,pale_ale,Year-round,0.0
296278,46318,Canada,strong_ale,Rotating,8.5
92608,345,US,IPA,Rotating,7.8
252560,28402,Europe,strong_ale,Rotating,9.5
42193,2391,US,wild_sour,Rotating,8.2
